"twitterUserId","profile","display_name","location","profile_card","join_date","followers_count","following_count","likes_count","tweets_count","checktime"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8394","1191","15959","65188","2022-01-19 00:00:04"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8393","1191","15959","65188","2022-01-20 00:00:05"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8392","1191","15961","65188","2022-01-21 00:00:05"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8392","1191","15961","65188","2022-01-22 00:00:05"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8396","1191","15961","65188","2022-01-23 00:00:06"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8393","1191","15961","65188","2022-01-24 00:00:05"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8394","1191","15964","65190","2022-01-25 00:00:05"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8395","1191","15967","65192","2022-01-26 00:00:05"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8394","1193","15972","65196","2022-01-28 00:00:05"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8394","1192","15971","65195","2022-01-27 00:00:05"
